id,month,bank_name,inward_interbank_volume,inward_costumer_volume,inward_total_volume,inward_percentage_volume,inward_interbank_amt,inward_costumer_amt,inward_total_amt,inward_percentage_amt,outward_interbank_volume,outward_costumer_volume,outward_total_volume,outward_percentage_volume,outward_interbank_amt,outward_costumer_amt,outward_total_amt,outward_percentage_amt
23723,01/06/2020,JP Morgan Chase Bank,220,7100,7320,0.06,2696606.36,2074022.56,4770628.92,0.55,222,9305,9527,0.08,490777.15,3317485.97,3808263.12,0.44
23724,01/06/2020,Kallappanna Awade Ichalkaranji Janata Co-operative Bank,9,2899,2908,0.02,43.95,44387.84,44431.79,0.01,0,4504,4504,0.04,,50951.21,50951.21,0.01
23725,01/06/2020,Karnataka Bank,1549,59282,60831,0.51,27203.25,933638.46,960841.71,0.11,2390,83064,85454,0.71,48066.24,992313.04,1040379.27,0.12
23726,01/06/2020,Karnataka Grameena Bank,113,7966,8079,0.07,20303.81,281767.74,302071.54,0.03,352,16619,16971,0.14,10240.73,218411.59,228652.32,0.03
23727,01/06/2020,Karnataka State Co-operative Apex Bank,449,3632,4081,0.03,644522.64,169745.64,814268.28,0.09,65,10104,10169,0.08,639061.65,216537.36,855599,0.1
23728,01/06/2020,Karnataka Vikas Grameena Bank,247,4401,4648,0.04,503.58,147800.77,148304.35,0.02,1649,9687,11336,0.09,17901.65,111688.02,129589.67,0.01
23729,01/06/2020,Karur Vysya Bank,3704,100978,104682,0.87,875775.51,1252829.99,2128605.5,0.25,844,136112,136956,1.14,735261.91,1543139,2278400.91,0.26
23730,01/06/2020,KEB Hana Bank,36,131,167,0,210973.48,45995.08,256968.56,0.03,80,134,214,0,223742.01,9151.18,232893.2,0.03
23731,01/06/2020,Kerala Gramin Bank,234,4258,4492,0.04,4668.69,354818.31,359487,0.04,955,6128,7083,0.06,43798.1,380371.35,424169.45,0.05
23732,01/06/2020,Kookmin Bank,20,2,22,0,62604.78,5.33,62610.11,0.01,30,2,32,0,66714.51,2200,68914.51,0.01
23733,01/06/2020,Kotak Mahindra Bank,3181,543392,546573,4.57,359088.38,16401019.76,16760108.14,1.94,1032,568714,569746,4.76,323120.09,17523854.34,17846974.42,2.06
23734,01/06/2020,Krung Thai Bank PCL,5,18,23,0,176.77,222.34,399.11,0,2,40,42,0,80.13,762.61,842.74,0
23735,01/06/2020,Kurmanchal Nagar Co-operative Bank,4,1673,1677,0.01,6.03,10441.77,10447.81,0,0,4058,4058,0.03,,40523.69,40523.69,0
23736,01/06/2020,Maharashtra Gramin Bank,36,4408,4444,0.04,2378.92,535294.56,537673.48,0.06,20,10035,10055,0.08,208.76,532252.39,532461.15,0.06
23737,01/06/2020,Mahesh Co-operative Bank Pune,1,969,970,0.01,10.4,10651.39,10661.79,0,0,1868,1868,0.02,,25996.11,25996.11,0
23738,01/06/2020,Mashreq Bank,190,13,203,0,53333.84,2433.78,55767.63,0.01,127,46,173,0,37620.25,21030.64,58650.9,0.01
23739,01/06/2020,Mehsana Urban Co-operative Bank,139,10225,10364,0.09,190500.15,144716.81,335216.95,0.04,0,15656,15656,0.13,,358933.71,358933.71,0.04
23740,01/06/2020,Mizuho Bank,134,2673,2807,0.02,110402.02,1287852.63,1398254.65,0.16,141,3594,3735,0.03,109595.25,1067356.05,1176951.29,0.14
23741,01/06/2020,Morgan Stanley India Primary Dealer Pvt.,8,36,44,0,11023.92,737712.98,748736.9,0.09,39,0,39,0,730867.26,,730867.26,0.08
23742,01/06/2020,MUFG Bank,112,3000,3112,0.03,243699.52,740264.35,983963.86,0.11,89,3961,4050,0.03,135449.98,879138.76,1014588.74,0.12
23743,01/06/2020,Mumbai District Central Co-operative Bank,26,1256,1282,0.01,1129.65,25060.48,26190.12,0,0,770,770,0.01,,36563.54,36563.54,0
23744,01/06/2020,NABARD,11,293,304,0,21737.51,4043072.32,4064809.83,0.47,0,1289,1289,0.01,,6892004.27,6892004.27,0.8
23745,01/06/2020,Nagar Urban Co-operative Bank,26,1141,1167,0.01,53.83,34458.99,34512.82,0,0,3112,3112,0.03,,32541.16,32541.16,0
23746,01/06/2020,Nagpur Nagrik Co-operative Bank,37,2830,2867,0.02,619.72,42134.94,42754.66,0,0,4652,4652,0.04,,42784.1,42784.1,0
23747,01/06/2020,Nasik Merchants Co-operative Bank,45,1598,1643,0.01,55749.68,17801.17,73550.85,0.01,0,3376,3376,0.03,,73954.95,73954.95,0.01
23748,01/06/2020,NatWest Markets PLC,2,4,6,0,109,1437.26,1546.26,0,3,3,6,0,1615.6,1690,3305.6,0
23749,01/06/2020,New India Co-operative Bank,26,761,787,0.01,2165.19,9210.18,11375.38,0,10,1465,1475,0.01,3.34,16271,16274.34,0
23750,01/06/2020,Nilambur Co-operative Urban Bank,3,150,153,0,97.99,940.7,1038.69,0,2,360,362,0,1,2371.06,2372.06,0
